table,mod,status,key,changed_fields,vanilla_row,mod_row
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE""]","description,value","{""description"": ""(In-game) Base chance per round that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE"", ""value"": 10}","{""description"": ""(In-game) Base chance per round that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance)."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE"", ""value"": 100}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND""]","description,value","{""description"": ""(In-game) Additional per round chance that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND"", ""value"": 0}","{""description"": ""(In-game) Additional per round chance that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance)."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND"", ""value"": 1}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_ENABLED""]","description,value","{""description"": ""(In-game) Whether the aggression ramp is enable. 0=no, 1=yes. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ENABLED"", ""value"": 0}","{""description"": ""(In-game) Whether the aggression ramp is enable. 0=no, 1=yes"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ENABLED"", ""value"": 1}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_FAME_MAX""]",description,"{""description"": ""(In-game) Player fame level at which the ramp ends and the maximum level of aggression will be applied. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_FAME_MAX"", ""value"": 100}","{""description"": ""(In-game) Player fame level at which the ramp ends and the maximum level of aggression will be applied."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_FAME_MAX"", ""value"": 100}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_FAME_MIN""]","description,value","{""description"": ""(In-game) Player fame level beyond which the aggression ramp will start to apply. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_FAME_MIN"", ""value"": 20}","{""description"": ""(In-game) Player fame level beyond which the aggression ramp will start to apply."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_FAME_MIN"", ""value"": 1}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX""]","description,value","{""description"": ""(In-game) The ending level for the aggression ramp to use. 1-6. Should be equal to or greater than the minimum level selected. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic context, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX"", ""value"": 5}","{""description"": ""(In-game) The ending level for the aggression ramp to use. 1-6. Should be equal to or greater than the minimum level selected. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX"", ""value"": 6}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN""]","description,value","{""description"": ""(In-game) The starting level for the aggression ramp to use. 1-6. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN"", ""value"": 1}","{""description"": ""(In-game) The starting level for the aggression ramp to use. 1-6. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN"", ""value"": 6}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX""]","description,value","{""description"": ""(In-game) Round at which the ramp should finish (and max level be used for aggression increases). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX"", ""value"": 100}","{""description"": ""(In-game) Round at which the ramp should finish (and max level be used for aggression increases)."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX"", ""value"": 75}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN""]","description,value","{""description"": ""(In-game) Round beyond which the aggression ramp will start (beginning with the minimum aggression level). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data"", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN"", ""value"": 20}","{""description"": ""(In-game) Round beyond which the aggression ramp will start (beginning with the minimum aggression level)."", ""key"": ""CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN"", ""value"": 1}"
cai_variables_tables,deepwar,OVERRIDE_CHANGED,"[""CAI_VARIABLE_AMBUSH_AVOIDANCE_DURATION""]",value,"{""description"": ""(In-game) Used for the CAI to determine how long to avoid ambush locations."", ""key"": ""CAI_VARIABLE_AMBUSH_AVOIDANCE_DURATION"", ""value"": 10}","{""description"": ""(In-game) Used for the CAI to determine how long to avoid ambush locations."", ""key"": ""CAI_VARIABLE_AMBUSH_AVOIDANCE_DURATION"", ""value"": 20}"
